Bwd IAT Tot,Bwd Pkt Len Max,Flow Duration,Flow IAT Min,Fwd Header Len,Fwd IAT Mean,Fwd IAT Min,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Std,Fwd Pkts/s,Fwd Seg Size Min,Init Bwd Win Byts,Init Fwd Win Byts,Tot Bwd Pkts,TotLen Bwd Pkts,TotLen Fwd Pkts,Label
631,488,961,30,72,268.0,150,161,0,92.9533933395,3121.7481789802,20,149,8192,4,488,161,0
41790,67,42039,249,16,41752.0,41752,51,51,0.0,47.5748709532,8,-1,-1,2,134,102,0
73629,309,4288080,4,168,1072020.0,29,935,0,418.1447118,1.166023022,32,211,237,3,309,935,0
0,0,60,8,60,30.0,27,0,0,0.0,50000.0,20,16698,260,1,0,0,0
38695,935,38713,4,104,17508.0,355,308,0,177.8238829,77.49334849,32,219,26883,4,935,308,1
0,0,4933,31,80,1644.3333333333,31,77,0,36.3959704729,810.865599027,20,0,980,1,0,108,0
0,0,13,13,64,13.0,13,0,0,0.0,153846.1538,32,-1,225,0,0,0,1
2393458,1173,2666885,3,172,380983.571428571,3,677,0,228.129662379,2.9997543951,20,62852,8192,7,1581,1148,0
45292,310,4225757,8,168,1056439.25,4999,935,0,418.1447118,1.183219953,32,211,237,3,310,935,0
330043,364,4539354,7,168,1134838.5,35,935,0,418.1447118,1.101478316,32,211,237,4,728,935,0
0,0,222,222,40,222.0,222,0,0,0.0,9009.009009009,20,-1,1847,0,0,0,0
0,89,817,817,8,0.0,0,33,33,0.0,1223.9902080783,8,-1,-1,1,89,33,0
0,0,56,56,20,0.0,0,0,0,0.0,17857.1428571429,20,254,189,1,0,0,0
53754,351,4387812,5,168,1096953.0,22,935,0,418.1447118,1.139520107,32,211,237,3,351,935,0
5830275,232,5830426,41,92,20664.6666666667,140,97,0,48.5,0.6860562161,20,141,8192,4,232,97,0
0,0,1526628,760970,24,763314.0,760970,50,50,0.0,1.9651152737,8,-1,-1,0,0,150,0
0,0,77668,77668,40,77668.0,77668,0,0,0.0,25.7506308905,20,-1,278,0,0,0,0
7352453,1173,7541666,76,272,628472.166666667,1176,677,0,188.7817896476,1.7237570585,20,62852,8192,7,1581,1148,0
0,0,79204,37689,96,39602.0,37689,0,0,0.0,37.87687491,32,-1,225,0,0,0,1
0,0,36,36,20,0.0,0,0,0,0.0,27777.7777777778,20,63388,34272,1,0,0,0
4551044,935,4551051,6,136,1511600.0,8741,357,0,178.5,0.878917859,32,219,225,5,935,357,1
0,99,2160,2160,8,0.0,0,41,41,0.0,462.962962963,8,-1,-1,1,99,41,0
91323,972,133572,3,168,33393.0,264,443,0,198.1156228065,37.4329949391,32,219,26883,3,972,443,1
92916,388,4255035,6,168,1063758.75,19,935,0,418.1447118,1.175078466,32,211,219,3,388,935,0
2545222,1173,2748299,3,192,343537.375,3,677,0,214.1209419412,3.2747528562,20,62856,8192,9,1874,1229,0
111564210,1460,115186589,0,872,2742537.83333333,15,392,0,68.7565883282,0.3733073474,20,980,8192,107,133697,764,0
113212409,1460,116896404,0,492,5082452.34782609,16,979,0,268.4805339339,0.205309994,20,1066,8192,66,74064,2260,0
104951,413,4156176,6,168,1039044.0,43,935,0,418.1447118,1.203028938,32,211,237,3,413,935,0
19371,370,5404964,6,168,1351241.0,39,935,0,418.1447118,0.925075542,32,211,219,3,370,935,0
33072,63,34542,327,16,34215.0,34215,35,35,0.0,57.9005268948,8,-1,-1,2,126,70,0
126722,355,3872910,5,168,968227.5,27,935,0,418.1447118,1.291018898,32,211,237,3,355,935,0
44891,309,4290466,5,168,1072616.5,32,935,0,418.1447118,1.165374577,32,211,219,3,309,935,0
53275,323,4068104,6,168,1017026.0,43,935,0,418.1447118,1.22907379,32,211,219,3,323,935,0
0,0,27601,27601,64,27601.0,27601,0,0,0.0,72.46114271,32,-1,225,0,0,0,1
91139,287,4372621,5,136,1451273.667,2603,935,0,467.5,0.914783147,32,225,219,5,287,935,0
0,0,63405,63405,64,63405.0,63405,0,0,0.0,31.54325369,32,-1,225,0,0,0,1
12466,310,4159761,5,168,1039940.25,24,935,0,418.1447118,1.201992134,32,211,237,3,310,935,0
65500000,332,65487498,5,136,21800000.0,40016,935,0,467.5,0.061080361,32,225,219,8,996,935,0
5025800,935,5025803,3,208,998736.4,6336,310,0,126.55697,1.193839074,32,219,225,5,935,310,1
0,0,247925,247925,40,247925.0,247925,0,0,0.0,8.0669557326,20,-1,253,0,0,0,0
4226030,327,4260626,7,168,1065156.5,22,935,0,418.1447118,1.173536471,32,211,219,4,327,935,0
56343196,1460,116485803,1,252,10589618.4545455,392,1227,0,425.9541428583,0.1030168458,20,1026,8192,9,4408,3741,0
0,0,1951847,1951847,64,1951847.0,1951847,0,0,0.0,1.0246704788,32,-1,221,0,0,0,1
0,99,1660,1660,8,0.0,0,43,43,0.0,602.4096385542,8,-1,-1,1,99,43,0
60264,328,4273458,4,168,1068364.5,28,935,0,418.1447118,1.170012669,32,211,219,3,328,935,0
29359,362,5413451,8,168,1353362.75,25,935,0,418.1447118,0.923625244,32,211,219,3,362,935,0
42096,343,4431430,6,168,1107857.5,34,935,0,418.1447118,1.128303956,32,211,237,3,343,935,0
0,78,1826,1826,8,0.0,0,50,50,0.0,547.6451259584,8,-1,-1,1,78,50,0
0,117,36612,36612,8,0.0,0,36,36,0.0,27.3134491424,8,-1,-1,1,117,36,0
25457,348,4173694,6,168,1043423.5,42,935,0,418.1447118,1.197979536,32,211,237,3,348,935,0
0,0,56041,56041,64,56041.0,56041,0,0,0.0,35.68815689,32,-1,225,0,0,0,1
280126,337,4498262,5,168,1124565.5,22,935,0,418.1447118,1.111540413,32,211,237,4,674,935,0
0,59,450,450,8,0.0,0,43,43,0.0,2222.2222222222,8,-1,-1,1,59,43,0
112558231,706,115831508,35,364,7239469.25,191,434,0,105.0947401717,0.1467649027,20,172,8192,15,1412,445,0
54230,1460,5802539,1,172,828934.142857143,33,196,0,75.2869510606,1.378706804,20,946,8192,6,3854,353,0
0,0,1001497,1001497,80,1001497.0,1001497,0,0,0.0,1.9970104753,40,-1,14600,0,0,0,0
2097046,1173,2311583,4,172,330226.142857143,4,677,0,228.129662379,3.4608318196,20,62852,8192,7,1581,1148,0
58217,341,4384811,7,168,1096202.75,58,935,0,418.1447118,1.140300004,32,211,219,3,341,935,0
52232,418,4523358,7,168,1130839.5,21,935,0,418.1447118,1.105373486,32,211,219,3,418,935,0
0,0,71,2,60,35.5,2,31,0,17.8978583449,42253.5211267606,20,0,1029,1,0,31,0
4198016,343,4244383,4,168,1061095.75,24,935,0,418.1447118,1.178027525,32,211,219,4,343,935,0
0,0,1892874,1892874,64,1892874.0,1892874,0,0,0.0,1.0565943639,32,-1,226,0,0,0,1
10539,314,5491800,3,168,1372950.0,19,935,0,418.1447118,0.910448305,32,211,237,3,314,935,0
94886,299,4289327,8,168,1072331.75,50,935,0,418.1447118,1.165684034,32,211,219,3,299,935,0
0,94,39262,39262,8,0.0,0,32,32,0.0,25.4699200245,8,-1,-1,1,94,32,0
707635,1460,719433,12,92,239805.333333333,11838,427,0,213.5,5.5599340036,20,237,8192,5,2266,427,0
41972,312,4293674,6,168,1073418.5,21,935,0,418.1447118,1.164503872,32,211,237,3,312,935,0
440,386,4015652,7,168,1003913.0,24,935,0,418.1447118,1.245127815,32,211,237,3,386,935,0
0,132,37021,37021,8,0.0,0,30,30,0.0,27.0116960644,8,-1,-1,1,132,30,0
0,0,926,13,60,463.0,13,46,0,23.4591844132,3239.7408207344,20,-1,257,0,0,77,0
42880,322,5451077,5,168,1362769.25,26,935,0,418.1447118,0.917249931,32,211,237,3,322,935,0
5003631,972,5003644,9,136,544.6666666667,33,351,0,175.5,0.7994173846,32,219,26883,4,972,351,1
0,0,25,25,20,0.0,0,0,0,0.0,40000.0,20,255,946,1,0,0,0
92207,356,4297528,5,136,1430780.667,28232,935,0,467.5,0.930767641,32,225,219,5,356,935,0
1,121,20245,1,16,16322.0,16322,48,48,0.0,98.7898246481,8,-1,-1,2,242,96,0
3281,347,4182696,7,168,1045674.0,31,935,0,418.1447118,1.195401244,32,211,219,3,347,935,0
0,0,4934536,4934536,40,4934536.0,4934536,0,0,0.0,0.4053065982,20,-1,237,0,0,0,0
294592,369,4508433,6,168,1127108.25,46,935,0,418.1447118,1.109032784,32,211,237,4,738,935,0
2583422,1173,2893326,3,172,413332.285714286,3,661,0,222.62332056,2.7649839665,20,62872,64240,7,1581,1128,0
0,0,90079,29215,96,45039.5,29215,0,0,0.0,33.30409973,32,-1,225,0,0,0,1
24142,383,4080143,7,168,1020035.75,24,935,0,418.1447118,1.225447245,32,211,237,3,383,935,0
0,0,30710,30710,64,30710.0,30710,0,0,0.0,65.12536633,32,-1,225,0,0,0,1
69117,368,5209340,6,136,1735467.333,14255,935,0,467.5,0.76785159,32,225,219,5,368,935,0
118192053,788,118203329,3,412,6219093.52631579,11336,436,0,178.6746823287,0.1691999724,20,294,8192,19,3152,1754,0
0,0,314001,1,68,157000.5,1,0,0,0.0,9.5541097003,20,8192,8192,1,0,0,0
3323194,935,3323202,7,168,826640.75,325,365,0,163.2329624,1.504572999,32,219,225,5,935,365,1
4751603,232,4751819,42,92,20690.3333333333,133,97,0,48.5,0.8417829046,20,141,8192,4,232,97,0
0,0,71258,71258,64,71258.0,71258,0,0,0.0,28.06702405,32,-1,225,0,0,0,1
168995,332,4472930,7,168,1118232.5,22,935,0,418.1447118,1.117835513,32,211,237,3,332,935,0
0,0,63496,21155,96,31748.0,21155,0,0,0.0,47.24707068,32,-1,225,0,0,0,1
98631,365,4579195,7,168,1144798.75,23,935,0,418.1447118,1.091894973,32,211,219,3,365,935,0
50781,307,4335594,5,168,1083898.5,22,935,0,418.1447118,1.153244515,32,211,219,3,307,935,0
456,488,773,14,72,235.0,131,161,0,92.9533933395,3880.9831824062,20,149,8192,4,488,161,0
0,53,443,443,8,0.0,0,37,37,0.0,2257.3363431151,8,-1,-1,1,53,37,0
0,0,21736,21736,64,21736.0,21736,0,0,0.0,92.01324991,32,-1,225,0,0,0,1
1911390,1173,2088979,53,172,298425.571428571,337,677,0,227.9699228282,3.8296220307,20,62856,8192,7,1581,1144,0
111655448,1350,115421957,1,432,5771097.85,12,452,0,107.0357305718,0.1819411189,20,4828,8192,21,3783,820,0
60962223,1460,61083386,1,292,4698722.0,393,342,0,104.6067465729,0.2291948911,20,31088,8192,13,4322,680,0
0,139,2401,2401,8,0.0,0,40,40,0.0,416.4931278634,8,-1,-1,1,139,40,0
48222,370,4290421,3,168,1072605.25,27,935,0,418.1447118,1.1653868,32,211,237,3,370,935,0
706,488,1005,30,72,237.5,127,161,0,92.9533933395,2985.0746268657,20,149,8192,4,488,161,0
4519188,935,4519191,3,168,1123688.0,1153,362,0,198.2755658,1.106392715,32,237,225,5,935,724,1
0,133,12740,12740,8,0.0,0,49,49,0.0,78.4929356358,8,-1,-1,1,133,49,0
0,0,188986,85,72,94493.0,1700,0,0,0.0,15.8741917391,20,8192,8192,1,0,0,0
81007,386,4278413,5,168,1069603.25,26,935,0,418.1447118,1.168657631,32,211,237,3,386,935,0
4355133,307,4408758,6,168,1102189.5,37,935,0,418.1447118,1.134106249,32,211,237,5,614,935,0
11004333,662,11004337,4,136,2000793.33333333,279,412,0,206.0,0.3634930482,32,219,26883,4,662,412,1
20,165,24016,20,16,17933.0,17933,37,37,0.0,83.2778147901,8,-1,-1,2,330,74,0
27342,348,4023368,6,168,1005842.0,43,935,0,418.1447118,1.242739913,32,211,237,3,348,935,0
51033,303,4085741,4,168,1021435.25,33,935,0,418.1447118,1.223768222,32,211,219,3,303,935,0
0,0,48,48,20,0.0,0,0,0,0.0,20833.3333333333,20,253,189,1,0,0,0
20490,322,4190290,6,168,1047572.5,38,935,0,418.1447118,1.193234836,32,211,237,3,322,935,0
64690842,1460,64893064,1,212,7210340.44444444,323,199,0,76.4185114281,0.1540996739,20,31,8192,11,5943,553,0
0,52,1154,1154,8,0.0,0,36,36,0.0,866.5511265165,8,-1,-1,1,52,36,0
54552,972,124863,8,168,31215.75,85,425,0,190.0657780875,40.0438881014,32,219,26883,3,972,425,1
454,488,744,1,72,235.0,127,161,0,92.9533933395,4032.2580645161,20,149,8192,4,488,161,0
0,76,1242,1242,8,0.0,0,32,32,0.0,805.152979066,8,-1,-1,1,76,32,0
0,53,1161,1161,8,0.0,0,37,37,0.0,861.3264427218,8,-1,-1,1,53,37,0
127687,371,4037633,6,136,1338307.667,46843,935,0,467.5,0.99067944,32,225,219,5,371,935,0
59306938,1430,80739189,0,312,5767084.92857143,40,602,0,158.7251892873,0.185783387,20,181,8192,16,7485,1206,0
178204,1460,102738527,1,192,12842315.875,423,415,0,144.0215068816,0.0876010224,20,980,65535,7,4245,736,0
42267,370,4241286,7,168,1060321.5,38,935,0,418.1447118,1.178887724,32,211,237,3,370,935,0
0,0,47281,3385,96,23640.5,3385,0,0,0.0,63.45043464,32,-1,225,0,0,0,1
125813,347,4114326,8,168,1028581.5,32,935,0,418.1447118,1.215265878,32,211,219,3,347,935,0
0,0,1993647,1993647,64,1993647.0,1993647,0,0,0.0,1.0031866223,32,-1,226,0,0,0,1
0,0,116798,40601,96,58399.0,40601,0,0,0.0,25.68537132,32,-1,225,0,0,0,1
0,0,9230,9230,64,9230.0,9230,0,0,0.0,216.6847237,32,-1,225,0,0,0,1
47600,304,4429070,10,168,1107267.5,38,935,0,418.1447118,1.128905165,32,211,237,3,304,935,0
99999842,0,99999844,2,64,99999842.0,99999842,8,8,0.0,0.0200000312,32,219,211,2,0,16,1
80092633,1460,80169684,7,292,6166898.76923077,238,814,0,218.9801034667,0.1746296019,20,129,8192,14,4144,2046,0
42209,369,4026331,7,136,1338044.667,12820,935,0,467.5,0.993460299,32,225,219,5,369,935,0
90875,360,4266756,6,168,1066689.0,25,935,0,418.1447118,1.171850464,32,211,219,3,360,935,0
0,51,1079,1079,8,0.0,0,35,35,0.0,926.7840593142,8,-1,-1,1,51,35,0
113138281,982,116213692,0,332,7747579.46666667,515,359,0,89.567758336,0.137677409,20,172,8192,15,1002,370,0
0,112,1475,1475,8,0.0,0,31,31,0.0,677.9661016949,8,-1,-1,1,112,31,0
38745,1430,90007,2,192,11250.875,21,195,0,83.6884101892,99.9922228271,20,172,8192,7,3420,513,0
0,242,1570,1570,8,0.0,0,34,34,0.0,636.9426751592,8,-1,-1,1,242,34,0
57114,355,5270883,4,168,1317720.75,146,935,0,418.1447118,0.948607662,32,211,237,3,355,935,0
60897,382,4217563,4,168,1054390.75,20,935,0,418.1447118,1.185518746,32,211,219,3,382,935,0
